i,entry_short,entry_long,exit_short_threshold,exit_long_threshold,position_timeout,multiple_entries,capital_percent,total_short_return,total_long_return,total_return,positions,balance,roi
3,1.0,0.95,0.95,1.0,14 days 00:00:00,True,0.8,-238.0780579086691,2.937906585811909,-235.1401513228572,12450,3.675518473994701e-133,-99.9999999999957
3,1.0,0.95,0.95,1.0,14 days 00:00:00,False,0.8,-8.104958632389515,1.0449267912998088,-7.060031841089706,1080,-1.3652949599374725e-06,0
3,1.0,0.95,0.95,1.0,14 days 00:00:00,True,0.9,-238.0780579086691,2.937906585811909,-235.1401513228572,12450,-1.2056077548689494e-168,0
3,1.0,0.95,0.95,1.0,14 days 00:00:00,False,0.9,-8.104958632389515,1.0449267912998088,-7.060031841089706,1080,-5.075980245745437e-09,0
3,1.0,0.95,0.95,1.01,14 days 00:00:00,True,0.1,-238.0780579086691,2.8857701116043923,-235.19228779706472,12450,1.9640939674585828e-11,-91.69374562783248
3,1.0,0.95,0.95,1.01,14 days 00:00:00,False,0.1,-8.104958632389515,0.9219759386791111,-7.182982693710404,1038,0.4584139320917438,-7.570156582721543
3,1.0,0.95,0.95,1.01,14 days 00:00:00,True,0.2,-238.0780579086691,2.8857701116043923,-235.19228779706472,12450,3.248027708977676e-23,-99.46254123245498
3,1.0,0.95,0.95,1.01,14 days 00:00:00,False,0.2,-8.104958632389515,0.9219759386791111,-7.182982693710404,1038,0.18304731792253112,-15.749261967067163
3,1.0,0.95,0.95,1.01,14 days 00:00:00,True,0.30000000000000004,-238.0780579086691,2.8857701116043923,-235.19228779706472,12450,3.093725541686044e-36,-99.9739277759288
3,1.0,0.95,0.95,1.01,14 days 00:00:00,False,0.30000000000000004,-8.104958632389515,0.9219759386791111,-7.182982693710404,1038,0.061847516487456615,-24.4884491793547
3,1.0,0.95,0.95,1.01,14 days 00:00:00,True,0.4,-238.0780579086691,2.8857701116043923,-235.19228779706472,12450,1.0173537814197557e-50,-99.99909952717026
3,1.0,0.95,0.95,1.01,14 days 00:00:00,False,0.4,-8.104958632389515,0.9219759386791111,-7.182982693710404,1038,0.016923145606477445,-33.74658524583093
3,1.0,0.95,0.95,1.01,14 days 00:00:00,True,0.5,-238.0780579086691,2.8857701116043923,-235.19228779706472,12450,5.5782857124402495e-67,-99.99997942588354
3,1.0,0.95,0.95,1.01,14 days 00:00:00,False,0.5,-8.104958632389515,0.9219759386791111,-7.182982693710404,1038,0.003484782409911827,-43.513790536707496
3,1.0,0.95,0.95,1.01,14 days 00:00:00,True,0.6,-238.0780579086691,2.8857701116043923,-235.19228779706472,12450,1.6417608978244067e-85,-99.99999972263713
3,1.0,0.95,0.95,1.01,14 days 00:00:00,False,0.6,-8.104958632389515,0.9219759386791111,-7.182982693710404,1038,0.00046629921439014007,-53.89131346447823
3,1.0,0.95,0.95,1.01,14 days 00:00:00,True,0.7000000000000001,-238.0780579086691,2.8857701116043923,-235.19228779706472,12450,2.892828840036839e-107,-99.99999999823189
3,1.0,0.95,0.95,1.01,14 days 00:00:00,False,0.7000000000000001,-8.104958632389515,0.9219759386791111,-7.182982693710404,1038,2.571839996004669e-05,-65.58277945682538
3,1.0,0.95,0.95,1.01,14 days 00:00:00,True,0.8,-238.0780579086691,2.8857701116043923,-235.19228779706472,12450,3.2578901521597263e-133,-99.99999999999575
3,1.0,0.95,0.95,1.01,14 days 00:00:00,False,0.8,-8.104958632389515,0.9219759386791111,-7.182982693710404,1038,-1.169134237135208e-06,0
