Row,gs_x1,gs_x2,gs_x3,gs_x4,gs_diff,gs_error,j_x1,j_x2,j_x3,j_x4,j_diff,j_error
44th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.869849404803186,0.0221410254293613,0.594519465092832,0.0549797826771049,0.00793663433222539,0.00383006571057096
45th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.865270324199252,0.0213361631470186,0.598349225261437,0.0592821228254173,0.00740222778436914,0.00357216207404918
46th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.869541067021049,0.0220868320984833,0.594777349655341,0.0552694667791401,0.00690379982442847,0.00333163775051597
47th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.865557887456496,0.0213867103244181,0.598108721295818,0.0590119238394645,0.00643893716364277,0.00310729941320123
48th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.869272857629138,0.0220396905809023,0.595001670835842,0.0555214573327411,0.00600537306038288,0.00289807364722218
49th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.865808030619491,0.0214306790771904,0.597899512835766,0.0587768904778537,0.00560100477032969,0.00270293112312958
50th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.86903955313364,0.0219986835050015,0.595196798148865,0.0557406573599864,0.00522386303555991,0.00252093191244235
51th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.866025622375431,0.0214689257157968,0.597717528474376,0.0585724448642327,0.00487211697044071,0.0023511850580049
52th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.868836610479692,0.0219630127253392,0.595366531625984,0.0559313329267799,0.00454405485690932,0.00219286979890798
53th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.866214898307808,0.0215021950033292,0.597559226028291,0.0583946056484343,0.00423808316674863,0.00204521336784259
54th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.868660078168332,0.0219319838839659,0.595514176346569,0.0560971954922055,0.00395271358169119,0.00190750021384966
55th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.866379543047424,0.0215311347265029,0.597421523967133,0.058239909991867,0.00368655948785123,0.00177905927400214
56th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.868506519104634,0.0219049929430453,0.595642607062288,0.0562414738075928,0.00343832657712717,0.00165926730312534
57th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.866522761849816,0.0215563083435027,0.597301741618732,0.0581053458951009,0.00320680844937424,0.00154754114624907
58th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.868372943569494,0.0218815144508499,0.595754324306461,0.056366976594214,0.00299087939788081,0.00144333825163183
59th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.866647342917432,0.0215782059722141,0.59719754708076,0.0579882934283842,0.00278948989900106,0.00134615164736928
60th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.868256750956553,0.0218610913250112,0.59585150314818,0.0564761471330856,0.00260166082455761,0.00125550917718836
61th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.866755711641722,0.0215972539415487,0.597106911872821,0.05788647365908,0.00242647917061121,0.00117096999342287
62th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.86815567911272,0.0218433259603734,0.595936035574656,0.0565711107855998,0.00226309327090952,0.00109212327748666
63th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.866849977801769,0.0216138230962754,0.597028071470544,0.0577979042502976,0.00211070890484314,0.00101858562735648
64th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.868067760282214,0.0218278724915134,0.596009567344357,0.0566537163477638,0.00196858525968468,0.000949999632328205
65th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.866931976628507,0.0216282360193091,0.596959490965764,0.0577208608503279,0.00183603145531942,0.000886031822991221
66th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867991282789391,0.0218144300609005,0.596073530037245,0.0567255720317965,0.00171240309587598,0.000826371272884758
67th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867003304529012,0.0216407733132147,0.596899835190525,0.057653843513082,0.00159709920114655,0.00077072792826179
68th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867924757710798,0.021802736962457,0.596129168930604,0.0567880767698233,0.00148955923944431,0.000718831311182522
69th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867065350163804,0.0216516790638036,0.596847942726476,0.057595547491669,0.00138926043521225,0.000670429124029732
70th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.86786688988581,0.0217925655469173,0.596177567245431,0.056842447446181,0.00129571520450195,0.000625286080472218
71th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867119321480928,0.0216611655924902,0.59680280329526,0.0575448378344092,0.00120846880120385,0.000583182720731634
72th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867816552700512,0.0217837177900119,0.596219667236605,0.0568897425870188,0.0011270970946365,0.000543914373904864
73th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867166269232462,0.02166941759008,0.596763538090563,0.05750072728764,0.00105120451611613,0.000507290142211269
74th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867772766153472,0.0217760214373014,0.596256288538017,0.0569308829676507,0.000980422130013647,0.000473131987802378
75th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867207107430973,0.0216765957125456,0.596729382669323,0.0574623570745701,0.000914405844515711,0.000441273856713334
76th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867734677776102,0.0217693266506602,0.596288144120114,0.056966669538468,0.00085283473586543,0.000411560879152096
77th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867242631143997,0.0216828397088357,0.596699672069218,0.0574289801756967,0.000795409490427281,0.000383848611275185
78th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867701546036057,0.0217635030911481,0.59631585417069,0.0569977990182165,0.000741850948100204,0.00035800233682502
79th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867273531972895,0.02168827114163,0.596673827862818,0.0573999467851399,0.000691898746342028,0.000333896409517008
80th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867672725900473,0.0217584373814926,0.596339958169235,0.0570248774581176,0.000645310053693427,0.000311413644176418
81th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867300411517412,0.0216929957540208,0.596651346896394,0.057374691659673,0.000601858389865671,0.000290444745689252
82th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867647656277974,0.0217540308987849,0.596360925389954,0.0570484320408604,0.000561332524360041,0.000270887778670789
83th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867323793088029,0.021697105528201,0.596631791494186,0.0573527231141198,0.000523535449902134,0.000252647671231345
84th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867625849094911,0.0217501978544215,0.596379164037959,0.0570689213441501,0.000488283424533818,0.000235635753302473
85th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867344131894141,0.0217006804762441,0.596614780937428,0.0573336134488502,0.000455405078536833,0.00021976932523436
86th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867606879793189,0.0217468636239113,0.596395029196515,0.0570867442686181,0.000424740581255291,0.000204971256020932
87th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.8673618239064,0.021703790197838,0.596599984052249,0.0573169906230029,0.000396140864188158,0.000191169608167226
88th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.86759037906465,0.0217439632940328,0.596408829740064,0.0571022478039026,0.000369466896274622,0.000178297288107396
89th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867377213565754,0.0217064952353032,0.596587112762138,0.057302531011319,0.000344589008062945,0.00016629171995555
90th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.86757602566112,0.0217414403990568,0.596420834347619,0.0571157337840911,0.000321386261325263,0.000155094541369713
91th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867390600489273,0.0217088482522754,0.596575916479468,0.0572899531035677,0.000299745861162795,0.000144651319793081
92th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867563540140106,0.0217392458214307,0.596431276733607,0.0571274647640446,0.000279562607665438,0.000134911287872356
93th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867402245303311,0.021710895058999,0.596566177226873,0.0572790120238991,0.000260738384515794,0.000125827096643438
94th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.86755267942441,0.0217373368355227,0.596440360197986,0.0571376691310049,0.000243181682012149,0.000117354585368711
95th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867412374717572,0.021712675504195,0.596557705393507,0.0572694947634224,0.000226807152219542,0.000109452566850831
96th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867543232069728,0.0217356762758079,0.596448261584243,0.0571465455510028,0.000211535194066584,0.000102082627215753
97th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867421185938852,0.0217142242508643,0.59655033604356,0.057261216033194,0.000197291566385448,9.52089391696951e-05
98th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867535014148092,0.021734231813303,0.596455134722307,0.0571542668366333,0.000184007027003516,8.87980878338208e-05
99th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.86742885051041,0.0217155714511325,0.596543925705174,0.0572540146568776,0.000171616996139342,8.28189083055215e-05
100th approximation,NaN,NaN,NaN,NaN,NaN,NaN,0.867527865667031,0.0217329753261623,0.596461113423426,0.0571609833114961,0.000160061242461783,7.72423341562613e-05
true value,0.867480082945264,0.0217245765663502,0.596501076963885,0.0572058783663913,NaN,0,0.867480082945264,0.0217245765663502,0.596501076963885,0.0572058783663913,NaN,0
